# Driving Time (ms), PL (counts)
1.800000000000001401e-06,7.000000000000000000e+00
1.820000000000001209e-06,3.000000000000000000e+00
1.840000000000001441e-06,4.000000000000000000e+00
1.860000000000001250e-06,8.000000000000000000e+00
1.880000000000001482e-06,1.000000000000000000e+01
1.900000000000001290e-06,7.000000000000000000e+00
1.920000000000001522e-06,6.000000000000000000e+00
1.940000000000001331e-06,4.000000000000000000e+00
1.960000000000001563e-06,4.000000000000000000e+00
1.980000000000001372e-06,3.000000000000000000e+00
2.000000000000001604e-06,4.000000000000000000e+00
2.020000000000001412e-06,5.000000000000000000e+00
2.040000000000001644e-06,6.000000000000000000e+00
2.060000000000001453e-06,7.000000000000000000e+00
2.080000000000001685e-06,3.000000000000000000e+00
2.100000000000001493e-06,7.000000000000000000e+00
2.120000000000001725e-06,6.000000000000000000e+00
2.140000000000001534e-06,4.000000000000000000e+00
2.160000000000001766e-06,1.300000000000000000e+01
2.180000000000001574e-06,5.000000000000000000e+00
2.200000000000001806e-06,4.000000000000000000e+00
2.220000000000001615e-06,5.000000000000000000e+00
2.240000000000001847e-06,4.000000000000000000e+00
2.260000000000001655e-06,7.000000000000000000e+00
2.280000000000001887e-06,6.000000000000000000e+00
2.300000000000001696e-06,5.000000000000000000e+00
2.320000000000001928e-06,5.000000000000000000e+00
2.340000000000001736e-06,9.000000000000000000e+00
2.360000000000001968e-06,3.000000000000000000e+00
2.380000000000001777e-06,1.100000000000000000e+01
2.400000000000002009e-06,2.000000000000000000e+00
2.420000000000001817e-06,5.000000000000000000e+00
2.440000000000001626e-06,3.000000000000000000e+00
2.460000000000001858e-06,8.000000000000000000e+00
2.480000000000002090e-06,1.000000000000000000e+00
2.500000000000001899e-06,5.000000000000000000e+00
2.520000000000001707e-06,2.000000000000000000e+00
2.540000000000001939e-06,6.000000000000000000e+00
2.560000000000002171e-06,4.000000000000000000e+00
2.580000000000001980e-06,5.000000000000000000e+00
2.600000000000001788e-06,7.000000000000000000e+00
2.620000000000002020e-06,6.000000000000000000e+00
2.640000000000002252e-06,5.000000000000000000e+00
2.660000000000002061e-06,8.000000000000000000e+00
2.680000000000001869e-06,4.000000000000000000e+00
2.700000000000002101e-06,3.000000000000000000e+00
2.720000000000002333e-06,7.000000000000000000e+00
2.740000000000002142e-06,4.000000000000000000e+00
2.760000000000001950e-06,1.000000000000000000e+01
2.780000000000002182e-06,7.000000000000000000e+00
2.800000000000002414e-06,4.000000000000000000e+00
2.820000000000002223e-06,9.000000000000000000e+00
2.840000000000002031e-06,4.000000000000000000e+00
2.860000000000002263e-06,7.000000000000000000e+00
2.880000000000002495e-06,8.000000000000000000e+00
2.900000000000002304e-06,7.000000000000000000e+00
2.920000000000002113e-06,4.000000000000000000e+00
2.940000000000002345e-06,3.000000000000000000e+00
2.960000000000002577e-06,6.000000000000000000e+00
2.980000000000002385e-06,3.000000000000000000e+00
3.000000000000002194e-06,8.000000000000000000e+00
3.020000000000002426e-06,4.000000000000000000e+00
3.040000000000002658e-06,2.000000000000000000e+00
3.060000000000002466e-06,5.000000000000000000e+00
3.080000000000002275e-06,9.000000000000000000e+00
3.100000000000002507e-06,6.000000000000000000e+00
3.120000000000002739e-06,5.000000000000000000e+00
3.140000000000002547e-06,3.000000000000000000e+00
3.160000000000002356e-06,4.000000000000000000e+00
3.180000000000002588e-06,4.000000000000000000e+00
3.200000000000002820e-06,3.000000000000000000e+00
3.220000000000002628e-06,6.000000000000000000e+00
3.240000000000002437e-06,4.000000000000000000e+00
3.260000000000002669e-06,7.000000000000000000e+00
3.280000000000002901e-06,4.000000000000000000e+00
3.300000000000002709e-06,4.000000000000000000e+00
3.320000000000002518e-06,8.000000000000000000e+00
3.340000000000002750e-06,9.000000000000000000e+00
3.360000000000002982e-06,6.000000000000000000e+00
3.380000000000002790e-06,4.000000000000000000e+00
3.400000000000002599e-06,9.000000000000000000e+00
3.420000000000002831e-06,8.000000000000000000e+00
3.440000000000003063e-06,7.000000000000000000e+00
3.460000000000002872e-06,6.000000000000000000e+00
3.480000000000002680e-06,3.000000000000000000e+00
3.500000000000002912e-06,3.000000000000000000e+00
3.520000000000003144e-06,7.000000000000000000e+00
3.540000000000002953e-06,7.000000000000000000e+00
3.560000000000002761e-06,7.000000000000000000e+00
3.580000000000002993e-06,6.000000000000000000e+00
3.600000000000003225e-06,7.000000000000000000e+00
3.620000000000003034e-06,3.000000000000000000e+00
3.640000000000002842e-06,6.000000000000000000e+00
3.660000000000003074e-06,4.000000000000000000e+00
3.680000000000003306e-06,6.000000000000000000e+00
3.700000000000003115e-06,6.000000000000000000e+00
3.720000000000002923e-06,3.000000000000000000e+00
3.740000000000003155e-06,3.000000000000000000e+00
3.760000000000003387e-06,7.000000000000000000e+00
3.780000000000003196e-06,4.000000000000000000e+00
3.800000000000003004e-06,4.000000000000000000e+00
3.820000000000003236e-06,3.000000000000000000e+00
3.840000000000003892e-06,7.000000000000000000e+00
3.860000000000003701e-06,9.000000000000000000e+00
3.880000000000003509e-06,2.000000000000000000e+00
3.900000000000003318e-06,7.000000000000000000e+00
3.920000000000003973e-06,4.000000000000000000e+00
3.940000000000003782e-06,2.000000000000000000e+00
3.960000000000003590e-06,4.000000000000000000e+00
3.980000000000003399e-06,4.000000000000000000e+00
